id,city,lon,lat
0,北京,116.395645,39.92998578
1,天津,117.2108131,39.1439299
2,上海,121.4878995,31.24916171
3,重庆,106.530635,29.54460611
4,呼和浩特,111.6603505,40.82831887
5,乌鲁木齐,87.56498774,43.84038035
6,拉萨,91.1118909,29.66255706
7,银川,106.2064786,38.50262101
8,南宁,108.2972336,22.80649294
9,哈尔滨,126.6577169,45.77322463
10,长春,125.3136424,43.89833761
11,沈阳,123.4327909,41.80864478
12,石家庄,114.5220818,38.04895831
13,郑州,113.6496438,34.75661006
14,武汉,114.3162001,30.58108413
15,长沙,112.9793528,28.21347823
16,太原,112.5508636,37.89027705
17,济南,117.0249671,36.68278473
18,西安,108.953673,34.283527
19,南京,118.7780744,32.0572355
20,杭州,120.2193754,30.25924446
21,福州,119.3302211,26.0471255
22,广州,113.3076497,23.1200491
23,合肥,117.2826991,31.86694226
24,南昌,115.8935275,28.689578
25,昆明,102.7146011,25.0491531
26,贵阳,106.7091771,26.62990674
27,兰州,103.8233054,36.06422553
28,西宁,101.767921,36.64073861
29,海口,110.3308018,20.02207128
30,成都,104.0679235,30.67994285
31,香港,114.1861241,22.29358599
32,澳门,113.5575191,22.20411799
33,台北,121.520272,25.071512
